step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
17,0.08980889525264502,0.09836120344698429,1.0228302478790283,1e-06,0.06851497530943922,144.21863784710877,65.6482362439856,6.676968750078231,221.49984295200557,357716,201.87147495941434,8888.46875,22018,0.03125,11,0,0
18,0.09610364120453596,0.10643150545656681,1.0348314046859741,1e-06,0.15609846099432334,14.08650250500068,24.142735414905474,5.492659776005894,43.79606605111621,301572,860.7279922357146,7159.71875,14727,0.03125,11,0.96875,1
19,0.0941938126925379,0.10406125957767169,0.9116580486297607,1e-06,0.15250616203295078,38.11276521580294,28.24890254298225,5.494083625031635,71.92456115689129,342915,595.9629688459079,8447,20339,0.03125,12,0.84375,1
20,0.03118608199292794,0.07248535385588184,0.31569552421569824,1e-06,0.14998836876029895,188.29042578488588,39.73692809487693,4.058338128961623,232.16780406795442,461771,248.61920554283756,12154.09375,30581,0.03125,11.46875,0.75,1
21,0.047902912308927625,0.08398918807506561,0.35684651136398315,1e-06,0.15049171162958466,134.23435313813388,41.26000298606232,4.0410094580147415,179.61152176489122,482257,335.62504458321104,12808.6875,30578,0.03125,12.40625,0.84375,1
22,0.04140220052795485,0.0780894460289606,0.3927227556705475,1e-06,0.1494340702534441,156.25016357796267,36.43250382388942,5.873143767006695,198.65035644406453,425122,267.5064417262352,10945.4375,30529,0.03125,12.5625,0.875,1
23,0.03113091445993632,0.058827433476431504,0.29169851541519165,1e-06,0.15152899422457736,164.24506868887693,44.91247430513613,3.836269133957103,213.06946732616052,523745,307.26187952487487,14079.6875,30561,0.03125,13.0625,0.6875,1
24,0.0500906715169549,0.06749299671500922,0.2636793553829193,1e-06,0.1503932257373043,144.2314993541222,49.459332067053765,3.212595809949562,196.99591464689001,571880,362.8755455570486,15610.03125,30572,0.03125,12.5625,0.6875,1
25,0.0348924717400223,0.0618001107359305,0.30996695160865784,1e-06,0.15119809885346858,150.24685073597357,41.23595083504915,8.538880720036104,200.09855356393382,483061,301.7644252021394,12813.6875,30533,0.03125,14.09375,0.78125,1
26,0.029707973822951317,0.04812815641476349,0.1995662897825241,1e-06,0.15045209689919412,166.2507068470586,54.6677373428829,7.853598162997514,228.85431955917738,625347,341.5639047170667,17256.375,30571,0.03125,13.59375,0.5625,1
27,0.028699228045297787,0.05401773081923073,0.2017897069454193,1e-06,0.09250917391100871,148.23098098719493,90.62351361196488,4.750225733034313,243.68111642403528,636526,326.515862893314,17605.84375,30578,0.03125,13.8125,0.5625,1
28,0.03682753711473197,0.06112353823846206,0.31611087918281555,1e-06,0.15342136015128988,102.18687374284491,41.45939997094683,4.4683190861251205,148.20017125993036,491465,414.5280297433097,13086.1875,30578,0.03125,15.3125,0.8125,1
29,0.02659360590041615,0.05697198641825129,0.23365826904773712,1e-06,0.11881499669116857,158.23477937304415,66.26404116488993,6.115109708160162,230.68943020910956,603024,326.750991285874,16564.5625,30554,0.03125,15.125,0.625,1
30,0.02625617681769654,0.039367364579811694,0.19284357130527496,1e-06,0.15527011680596678,136.22443281300366,55.08640590799041,6.008029086980969,197.39751513395458,649738,411.440082945754,18000.46875,30573,0.03125,14.40625,0.5625,1
31,0.02479542652145028,0.04341463390737772,0.17810973525047302,1e-06,0.15207646883301773,150.23442015401088,52.98892249795608,4.35764213395305,207.65620078495704,614218,369.732518026314,16937.65625,30596,0.03125,15,0.5625,1
32,0.031080773565918207,0.047029016497121615,0.18723882734775543,1e-06,0.1501119189569997,164.47650852403603,56.723794501973316,3.7969114610459656,225.10806003492326,647621,359.61673245925095,17949,30571,0.03125,15.71875,0.53125,1
33,0.023796862573362887,0.0372485084614406,0.2636622488498688,1e-06,0.15175366478189442,158.24531354103237,64.52011498692445,4.062864935956895,226.91978220106103,740670,408.0021102698163,20884.46875,30563,0.03125,16.25,0.46875,1
34,0.027750269102398306,0.04630567665056636,0.21319228410720825,1e-06,0.15066330614815757,148.24514825409278,57.317323175957426,9.931313038803637,215.58034333400428,659072,382.14986916669073,18311.40625,30567,0.03125,17.375,0.5625,1
35,0.02479131775908172,0.04395930368142823,0.1632319837808609,1e-06,0.15090417801003558,162.2480274741538,63.43313033902086,8.716908341040835,234.47971517918631,724376,386.16133566524155,20330.625,30611,0.03125,15.59375,0.5,1
36,0.023651703959330916,0.03949315922165459,0.16473069787025452,1e-06,0.15424141610228415,148.23080079909414,60.454874088056386,6.019821227993816,214.78776450711302,705963,410.8491710526538,19788.40625,30557,0.03125,16.4375,0.5,1
37,0.025522836484014988,0.03943510761914345,0.17106115818023682,1e-06,0.1518090882001049,158.24586989288218,67.21923132194206,3.7075833019334823,229.25715911993757,771010,420.38490911239137,21800.65625,30609,0.03125,17.25,0.4375,1
38,0.03080945077817887,0.05327871630045896,0.2242060750722885,1e-06,0.1514713730129375,130.21069815405644,58.51290119602345,5.673247660975903,194.48531843489036,675212,433.9736319389881,18844.90625,30615,0.03125,18.90625,0.625,1
39,0.03071964025730267,0.04947587117468091,0.22374270856380463,1e-06,0.14869459494748563,154.2603511819616,54.95571153284982,6.706896216841415,216.0011645341292,624298,361.2816170149386,17235,30593,0.03125,18.78125,0.59375,1
40,0.02783742395695299,0.04058264091145247,0.18359844386577606,1e-06,0.15266931016457508,152.2406716728583,64.8069755260367,7.253095766995102,224.3795228379313,748669,417.0773866365479,21109.5625,30623,0.03125,19.03125,0.40625,1
41,0.036253311089240015,0.057846143213100734,0.25762492418289185,1e-06,0.1535454755565484,134.77676216699183,49.39289396791719,3.342707513133064,187.5985447820276,583248,388.6277480708079,15931.4375,30600,0.03125,20,0.71875,1
42,0.028411439154297113,0.04062421963765071,0.18257972598075867,1e-06,0.15004541643479374,174.28658286994323,69.35391068505123,5.371930077206343,249.09778800606728,787084,394.96737721975927,22320.1875,30566,0.03125,18.875,0.34375,1
43,0.0368755673407577,0.050725675907663324,0.25537896156311035,1e-06,0.1538912326062457,136.2331021479331,54.302804151084274,5.176728099118918,195.8050015841145,639709,408.3839756547229,17713.71875,30578,0.03125,20.53125,0.59375,1
44,0.03318023157771677,0.059923499395760395,0.2200644314289093,1e-06,0.1463434651519013,160.24921706598252,56.73941819393076,3.1711439199279994,220.237655172823,633934,359.8010973092594,17535.25,30571,0.03125,20.5625,0.625,1
45,0.03209819074254483,0.04737105579503501,0.2693227529525757,1e-06,0.15222358684785828,158.25771179609,60.69289587880485,7.277485161088407,226.3117173379287,703708,388.68292386581504,19715.90625,30584,0.03125,21.3125,0.28125,1
46,0.031247060047462583,0.04495645718028148,0.23529575765132904,1e-06,0.1506501191426651,154.2418940938078,64.13422114192508,6.46823917911388,224.92198498896323,733259,407.5074075328722,20614.40625,30572,0.0625,19,0.40625,1
47,0.03528191632358357,0.047810809686779976,0.22240754961967468,1e-06,0.1513244665378623,136.2245371111203,62.03965428494848,4.638125868048519,202.98159442702308,715232,440.45372809475566,20052.40625,30588,0.03125,23.46875,0.4375,1
48,0.027446917782071978,0.03968215131988892,0.1668386161327362,1e-06,0.15139977278310035,182.5457858191803,71.55308450199664,7.9978729381691664,262.21187721099705,817368,389.6505417173948,23269.625,30578,0.0625,21.03125,0.40625,1
49,0.040698238532058895,0.057328549891032955,0.2525380849838257,1e-06,0.1536371368875597,122.23751897201873,56.42791111883707,6.3775771469809115,185.13181662606075,662908,447.5918916053861,18438.0625,30576,0.03125,23.5625,0.625,1
50,0.03290582910994999,0.045828181820420116,0.1885545551776886,1e-06,0.15185547708800176,190.27447973680682,66.4659413699992,6.169723347062245,262.9890922261402,766632,364.3839339070312,21673.25,30552,0.03125,20.59375,0.375,1
51,0.035522879858035594,0.04385742928402928,0.1871519237756729,1e-06,0.15322854145344608,146.24373726407066,68.40252904314548,3.7644798010587692,218.51147694513202,792990,453.63177891516364,22501.96875,30575,0.03125,24.125,0.28125,1
52,0.028309209999861196,0.044920754099551305,0.16058632731437683,1e-06,0.15073796005540074,170.26130740414374,69.36570783192292,4.3648509960621595,244.07385654794052,791596,405.40802443773623,22466.59375,30582,0.03125,20.46875,0.4375,1
53,0.029392037075012922,0.04248559356738742,0.19778677821159363,1e-06,0.15086121184561646,150.24250961397775,67.65775000606664,8.897280041826889,226.8842645601835,774448,426.6756894210315,21925.5625,30608,0.03125,23.09375,0.46875,1
54,0.035105919756460935,0.049757654507023595,0.2014765739440918,1e-06,0.1539737665300574,150.2441475901287,65.46840981510468,2.9826956891920418,218.78014693106525,764729,436.92778499741803,21635.0625,30573,0.03125,23.15625,0.5,1
55,0.028834383934736252,0.04154962479757766,0.16694971919059753,1e-06,0.14905489113818082,162.24910407909192,75.73547775996849,3.6716810120269656,241.7319892779924,851308,440.2127344330262,24313.0625,30572,0.03125,22.40625,0.34375,1
56,0.03836194716859609,0.04896538622247485,0.20187048614025116,1e-06,0.15244165541356575,136.2347625629045,67.86666792002507,7.000300663057715,211.1773350769654,783969,464.04660312757744,22215.28125,30606,0.03125,24.5,0.46875,1
57,0.0318512050434947,0.043480425041967204,0.21209603548049927,1e-06,0.14857736305693847,174.26455572387204,72.47100211307406,2.7905995829496533,249.60179775604047,815075,408.1876649766011,23185,30570,0.03125,24.65625,0.40625,1
58,0.029163890692871064,0.042942209706570096,0.17852795124053955,1e-06,0.1509659502035497,140.22654937882908,67.84057544800453,6.079080540919676,214.22806590306573,776268,452.9448538451814,21984.0625,30615,0.03125,24.9375,0.46875,1
59,0.032993863977026194,0.0422120793789093,0.17479702830314636,1e-06,0.15224576381582874,176.2693350580521,71.95015898207203,4.758667884860188,253.06350169098005,828007,408.99171278514353,23595.0625,30575,0.03125,25.1875,0.34375,1
60,0.02866860615904443,0.041259716637432574,0.17391568422317505,1e-06,0.12546931809492431,148.2410810510628,88.7991874020081,3.5215924300719053,240.64860586705618,841821,437.26671351726804,24015.1875,30568,0.03125,25.90625,0.34375,1
61,0.030250910931499675,0.04431033120490611,0.2022193968296051,1e-06,0.14770623823368909,156.25194449303672,77.09192394395359,3.499602659139782,236.93298909207806,859620,453.51430550788047,24585.90625,30564,0.03125,25.6875,0.46875,1
62,0.03867519402410835,0.049959016331870644,0.2330874800682068,1e-06,0.15293146603757188,146.2308414040599,70.33515929896384,3.486811405979097,220.13168279197998,814610,462.569716037758,23137.78125,30588,0.03125,28.5,0.4375,1
63,0.0305852837045677,0.04563315794803202,0.18702249228954315,1e-06,0.10329801522756407,188.27517880802043,114.88266892894171,5.521666330983862,308.757030953886,894335,362.0707021784276,25672.34375,30574,0.03125,25.46875,0.3125,1
