step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
49,0.02190313331084326,0.027608292555669323,0.16004110872745514,1e-06,0.1506963179011045,128.2108121374622,85.95577055774629,7.716109726577997,221.9661792991683,969079,545.735730472403,28005.90625,30604,0.03125,29.1875,0.125,1
50,0.025455609138589352,0.029680499181267805,0.13413265347480774,1e-06,0.1510006882818031,132.2176230335608,84.68579286057502,11.242844547145069,228.23318897932768,957494,524.4055456406065,27637.6875,30593,0.03125,27.0625,0.125,1
51,0.021639134269207716,0.025778471771627665,0.14221718907356262,1e-06,0.1516515185317268,134.21527607366443,80.72210113424808,4.276489291340113,219.30159322544932,917037,522.703110880535,26378.4375,30600,0.03125,29.1875,0.25,1
52,0.022402249174774624,0.02731844653317239,0.15599621832370758,1e-06,0.15163628038198573,198.29379460960627,85.33441249560565,4.578027908690274,288.29712606035173,968900,420.0961058996005,28007.34375,30605,0.03125,31,0.0625,1
53,0.025767403465579264,0.02929987615595261,0.14857065677642822,1e-06,0.15229668962433324,172.2599733006209,82.62939635291696,7.3328966135159135,262.30539116915315,942669,449.22303912546164,27182.46875,30608,0.03125,34.59375,0.21875,1
54,0.028132765466580167,0.031621572765288875,0.16983577609062195,1e-06,0.15113110986686534,134.20540046412498,87.76804857235402,3.8774127308279276,225.92803851608187,991176,548.3914294735969,28711.53125,30623,0.03125,31,0.03125,1
55,0.020119614229770377,0.0202854200033471,0.11060953140258789,1e-06,0.1524966257470812,136.2122968742624,90.85743334703147,9.039810719899833,236.1915305517614,1033116,546.757539096852,29994.5625,30572,0.03125,24.875,0,0
56,0.030734740823390894,0.03673048104974441,0.17848539352416992,1e-06,0.15151053863257044,214.31054539140314,82.83087501581758,7.545164384879172,304.770132470876,941225,386.0388944485661,27129.53125,30564,0.03125,35.4375,0.21875,1
57,0.026163171365624294,0.028860179940238595,0.16983704268932343,1e-06,0.15230087103700285,162.26662827841938,89.47794160991907,10.550024669617414,262.39053305611014,1016818,484.4010510578146,29489.46875,30574,0.03125,32.25,0.09375,1
58,0.025092991505516693,0.028951814194442704,0.16802944242954254,1e-06,0.1525753205803766,122.20910145714879,87.02142966818064,3.7462248811498284,213.06568407826126,992792,582.4448011741634,28750.4375,30605,0.03125,32.59375,0.09375,1
59,0.027767674066126347,0.03586761685437523,0.18199534714221954,1e-06,0.15186731957204816,124.20666502136737,83.39434063900262,4.78341621812433,212.4791810074821,949222,558.4205917841044,27383.03125,30583,0.03125,28.625,0.28125,1
60,0.031193608534522355,0.03619585276464932,0.18678908050060272,1e-06,0.15161664569561067,142.24738158658147,86.36868570558727,6.042120000347495,234.753049666062,979998,521.8238918482926,28333.21875,30611,0.03125,29.8125,0.1875,1
